x,y,saturation,concentration
1.695,0.015,0,0.770656
1.705,0.015,0,0.764076
1.715,0.015,0,0.75728
1.725,0.015,0,0.749851
1.735,0.015,0,0.740943
1.745,0.015,0,0.73321
1.755,0.015,0,0.725263
1.765,0.015,0,0.717076
1.775,0.015,0,0.708623
1.785,0.015,0,0.699313
1.795,0.015,0,0.688316
1.805,0.015,0,0.678492
1.815,0.015,0,0.668516
1.825,0.015,0,0.658654
1.835,0.015,0,0.648404
1.845,0.015,0,0.634407
1.855,0.015,0,0.619853
1.865,0.015,0,0.611309
1.875,0.015,0,0.602473
1.885,0.015,0,0.592319
1.895,0.015,0,0.580598
1.905,0.015,0,0.56708
1.915,0.015,0,0.550357
1.925,0.015,0,0.53276
1.935,0.015,0,0.514662
1.945,0.015,0,0.496993
1.955,0.015,0,0.480107
1.965,0.015,0,0.461747
1.975,0.015,0,0.442204
1.985,0.015,0,0.425087
1.995,0.015,0,0.407736
2.005,0.015,0,0.390084
2.015,0.015,0,0.372017
2.025,0.015,0,0.351239
2.035,0.015,0,0.329355
2.045,0.015,0,0.310265
2.055,0.015,0,0.291381
2.065,0.015,0,0.273013
2.075,0.015,0,0.255592
2.085,0.015,0,0.238391
2.095,0.015,0,0.22516
2.105,0.015,0,0.217316
2.115,0.015,0,0.212246
2.125,0.015,0,0.209508
2.135,0.015,0,0.208643
2.145,0.015,0,0.209431
2.155,0.015,0,0.211146
2.165,0.015,0,0.212579
2.175,0.015,0,0.213999
2.185,0.015,0,0.215132
2.195,0.015,0,0.215751
2.205,0.015,0,0.216289
2.215,0.015,0,0.216606
2.225,0.015,0,0.216785
2.235,0.015,0,0.216898
2.245,0.015,0,0.216949
2.255,0.015,0,0.216935
2.265,0.015,0,0.216815
2.275,0.015,0,0.216566
2.285,0.015,0,0.216232
2.295,0.015,0,0.215816
2.305,0.015,0,0.215334
2.315,0.015,0,0.214811
2.325,0.015,0,0.214204
2.335,0.015,0,0.213692
2.345,0.015,0,0.21331
2.355,0.015,0,0.213012
2.365,0.015,0,0.212797
2.375,0.015,0,0.212655
2.385,0.015,0,0.212563
2.395,0.015,0,0.212503
2.405,0.015,0,0.212426
2.415,0.015,0,0.212304
2.425,0.015,0,0.212114
2.435,0.015,0,0.211836
2.445,0.015,0,0.21134
2.455,0.015,0,0.21069
2.465,0.015,0,0.209907
2.475,0.015,0,0.208951
2.485,0.015,0,0.207811
2.495,0.015,0,0.206481
2.505,0.015,0,0.2046
2.515,0.015,0,0.202632
2.525,0.015,0,0.200562
2.535,0.015,0,0.198294
2.545,0.015,0,0.195836
2.555,0.015,0,0.193194
2.565,0.015,0,0.189778
2.575,0.015,0,0.186584
2.585,0.015,0,0.183389
2.595,0.015,0,0.180091
2.605,0.015,0,0.176771
2.615,0.015,0,0.173534
2.625,0.015,0,0.169827
2.635,0.015,0,0.166528
2.645,0.015,0,0.163604
2.655,0.015,0,0.160973
2.665,0.015,0,0.158603
2.675,0.015,0,0.156407
2.685,0.015,0,0.154291
2.695,0.015,0,0.152937
2.705,0.015,0,0.151944
2.715,0.015,0,0.151172
2.725,0.015,0,0.150627
2.735,0.015,0,0.150373
2.745,0.015,0,0.150298
2.755,0.015,0,0.150668
2.765,0.015,0,0.151312
2.775,0.015,0,0.15177
2.785,0.015,0,0.15176
2.795,0.015,0,0.151133
2.805,0.015,0,0.148887
2.815,0.015,0,0.145271
2.825,0.015,0,0.139768
2.835,0.015,0,0.13201
2.845,0.015,0,0.122265
2.855,0.015,0,0.111379
0.005,0.025,0,0.799678
0.015,0.025,0,0.800315
0.025,0.025,0,0.801282
0.035,0.025,0,0.802523
0.045,0.025,0,0.80392
0.055,0.025,0,0.805295
0.065,0.025,0,0.807291
0.075,0.025,0,0.809204
0.085,0.025,0,0.810976
0.095,0.025,0,0.812306
0.105,0.025,0,0.813299
0.115,0.025,0,0.814579
0.125,0.025,0,0.815774
0.135,0.025,0,0.816583
0.145,0.025,0,0.817305
0.155,0.025,0,0.817938
0.165,0.025,0,0.818487
0.175,0.025,0,0.818974
0.185,0.025,0,0.819425
0.195,0.025,0,0.81981
0.205,0.025,0,0.820022
0.215,0.025,0,0.820172
0.225,0.025,0,0.820202
0.235,0.025,0,0.819722
0.245,0.025,0,0.820102
0.255,0.025,0,0.819966
0.265,0.025,0,0.81992
0.275,0.025,0,0.819462
0.285,0.025,0,0.818621
0.295,0.025,0,0.818441
0.305,0.025,0,0.817499
0.315,0.025,0,0.815773
0.325,0.025,0,0.814605
0.335,0.025,0,0.813787
0.345,0.025,0,0.813179
0.355,0.025,0,0.813021
0.365,0.025,0,0.811971
0.375,0.025,0,0.811145
0.385,0.025,0,0.810072
0.395,0.025,0,0.808965
0.405,0.025,0,0.807975
0.415,0.025,0,0.806958
0.425,0.025,0,0.805863
0.435,0.025,0,0.804933
0.445,0.025,0,0.803982
0.455,0.025,0,0.803005
0.465,0.025,0,0.801997
0.475,0.025,0,0.800867
0.485,0.025,0,0.799619
0.495,0.025,0,0.798526
0.505,0.025,0,0.797428
0.515,0.025,0,0.796336
0.525,0.025,0,0.795256
0.535,0.025,0,0.7941
0.545,0.025,0,0.792992
0.555,0.025,0,0.791917
0.565,0.025,0,0.790797
0.575,0.025,0,0.789676
0.585,0.025,0,0.788587
0.595,0.025,0,0.787451
0.605,0.025,0,0.786246
0.615,0.025,0,0.785325
0.625,0.025,0,0.784493
0.635,0.025,0,0.783683
0.645,0.025,0,0.782889
0.655,0.025,0,0.782338
0.665,0.025,0,0.78195
0.675,0.025,0,0.781425
0.685,0.025,0,0.781214
0.695,0.025,0,0.781057
0.705,0.025,0,0.780684
0.715,0.025,0,0.780444
0.725,0.025,0,0.779894
0.735,0.025,0,0.779653
0.745,0.025,0,0.779628
0.755,0.025,0,0.779783
0.765,0.025,0,0.780093
0.775,0.025,0,0.780745
0.785,0.025,0,0.781773
0.795,0.025,0,0.782966
0.805,0.025,0,0.784258
0.815,0.025,0,0.785601
0.825,0.025,0,0.786977
0.835,0.025,0,0.788596
0.845,0.025,0,0.790156
0.855,0.025,0,0.79167
0.865,0.025,0,0.79322
0.875,0.025,0,0.794757
0.885,0.025,0,0.79624
0.895,0.025,0,0.797906
0.905,0.025,0,0.799395
0.915,0.025,0,0.800694
0.925,0.025,0,0.801939
0.935,0.025,0,0.803137
0.945,0.025,0,0.804296
0.955,0.025,0,0.80561
0.965,0.025,0,0.806782
0.975,0.025,0,0.807825
0.985,0.025,0,0.808829
0.995,0.025,0,0.809791
1.005,0.025,0,0.810705
1.015,0.025,0,0.811709
1.025,0.025,0,0.812554
1.035,0.025,0,0.813296
1.045,0.025,0,0.814005
1.055,0.025,0,0.814686
1.065,0.025,0,0.815346
1.075,0.025,0,0.816103
1.085,0.025,0,0.816756
1.095,0.025,0,0.817351
1.105,0.025,0,0.817928
1.115,0.025,0,0.818484
1.125,0.025,0,0.819018
1.135,0.025,0,0.819619
1.145,0.025,0,0.820102
1.155,0.025,0,0.820523
1.165,0.025,0,0.820906
1.175,0.025,0,0.821249
1.185,0.025,0,0.821548
1.195,0.025,0,0.821839
1.205,0.025,0,0.822017
1.215,0.025,0,0.822131
1.225,0.025,0,0.822187
1.235,0.025,0,0.822182
1.245,0.025,0,0.822113
1.255,0.025,0,0.821919
1.265,0.025,0,0.821653
1.275,0.025,0,0.821311
1.285,0.025,0,0.820886
1.295,0.025,0,0.820373
1.305,0.025,0,0.819768
1.315,0.025,0,0.818869
1.325,0.025,0,0.817984
1.335,0.025,0,0.817008
1.345,0.025,0,0.815923
1.355,0.025,0,0.814725
1.365,0.025,0,0.81341
1.375,0.025,0,0.811581
1.385,0.025,0,0.809927
1.395,0.025,0,0.808159
1.405,0.025,0,0.806262
1.415,0.025,0,0.804232
1.425,0.025,0,0.802066
1.435,0.025,0,0.799125
1.445,0.025,0,0.796591
1.455,0.025,0,0.793918
1.465,0.025,0,0.791102
1.475,0.025,0,0.788144
1.485,0.025,0,0.785006
1.495,0.025,0,0.7809
1.505,0.025,0,0.777395
1.515,0.025,0,0.773736
1.525,0.025,0,0.769921
1.535,0.025,0,0.765948
1.545,0.025,0,0.761723
1.555,0.025,0,0.756357
1.565,0.025,0,0.751784
1.575,0.025,0,0.747044
1.585,0.025,0,0.742135
1.595,0.025,0,0.737056
1.605,0.025,0,0.731633
1.615,0.025,0,0.724932
1.625,0.025,0,0.719215
1.635,0.025,0,0.713322
1.645,0.025,0,0.707253
1.655,0.025,0,0.701004
1.665,0.025,0,0.694291
1.675,0.025,0,0.686171
1.685,0.025,0,0.679191
1.695,0.025,0,0.672008
1.705,0.025,0,0.664631
1.715,0.025,0,0.657074
1.725,0.025,0,0.648929
1.735,0.025,0,0.639286
1.745,0.025,0,0.630818
1.755,0.025,0,0.62203
1.765,0.025,0,0.612942
1.775,0.025,0,0.603564
1.785,0.025,0,0.593253
1.795,0.025,0,0.581512
1.805,0.025,0,0.571733
1.815,0.025,0,0.56142
1.825,0.025,0,0.550935
1.835,0.025,0,0.541005
1.845,0.025,0,0.532574
1.855,0.025,0,0.519281
1.865,0.025,0,0.506591
1.875,0.025,0,0.4937
1.885,0.025,0,0.481046
1.895,0.025,0,0.468768
1.905,0.025,0,0.455402
1.915,0.025,0,0.440943
1.925,0.025,0,0.428129
1.935,0.025,0,0.415111
1.945,0.025,0,0.401854
1.955,0.025,0,0.388389
1.965,0.025,0,0.373738
1.975,0.025,0,0.358424
1.985,0.025,0,0.345289
1.995,0.025,0,0.332222
2.005,0.025,0,0.319224
2.015,0.025,0,0.30627
2.025,0.025,0,0.29186
2.035,0.025,0,0.277269
2.045,0.025,0,0.265026
2.055,0.025,0,0.253304
2.065,0.025,0,0.242252
2.075,0.025,0,0.232069
2.085,0.025,0,0.222282
2.095,0.025,0,0.21484
2.105,0.025,0,0.210353
2.115,0.025,0,0.207375
2.125,0.025,0,0.205703
2.135,0.025,0,0.205123
2.145,0.025,0,0.205537
2.155,0.025,0,0.20656
2.165,0.025,0,0.20745
2.175,0.025,0,0.208362
2.185,0.025,0,0.209084
2.195,0.025,0,0.20944
2.205,0.025,0,0.209732
2.215,0.025,0,0.209876
2.225,0.025,0,0.209949
2.235,0.025,0,0.209991
2.245,0.025,0,0.210004
2.255,0.025,0,0.209985
2.265,0.025,0,0.209894
2.275,0.025,0,0.209702
2.285,0.025,0,0.209434
2.295,0.025,0,0.209085
2.305,0.025,0,0.208669
2.315,0.025,0,0.208203
2.325,0.025,0,0.207646
2.335,0.025,0,0.207174
2.345,0.025,0,0.20683
2.355,0.025,0,0.206574
2.365,0.025,0,0.206406
2.375,0.025,0,0.206312
2.385,0.025,0,0.206268
2.395,0.025,0,0.206234
2.405,0.025,0,0.206162
2.415,0.025,0,0.206021
2.425,0.025,0,0.205788
2.435,0.025,0,0.20544
2.445,0.025,0,0.20482
2.455,0.025,0,0.204015
2.465,0.025,0,0.203061
2.475,0.025,0,0.201914
2.485,0.025,0,0.200571
2.495,0.025,0,0.199029
2.505,0.025,0,0.196904
2.515,0.025,0,0.194742
2.525,0.025,0,0.192523
2.535,0.025,0,0.190139
2.545,0.025,0,0.187599
2.555,0.025,0,0.184913
2.565,0.025,0,0.181511
2.575,0.025,0,0.178426
2.585,0.025,0,0.175421
2.595,0.025,0,0.172362
2.605,0.025,0,0.169266
2.615,0.025,0,0.166169
2.625,0.025,0,0.162863
2.635,0.025,0,0.160088
2.645,0.025,0,0.157571
2.655,0.025,0,0.155142
2.665,0.025,0,0.152919
2.675,0.025,0,0.151117
2.685,0.025,0,0.149306
2.695,0.025,0,0.148033
2.705,0.025,0,0.146881
2.715,0.025,0,0.146038
2.725,0.025,0,0.145606
2.735,0.025,0,0.145611
2.745,0.025,0,0.146039
2.755,0.025,0,0.146363
2.765,0.025,0,0.146755
2.775,0.025,0,0.146834
2.785,0.025,0,0.146331
2.795,0.025,0,0.145066
2.805,0.025,0,0.141863
2.815,0.025,0,0.13747
2.825,0.025,0,0.131377
2.835,0.025,0,0.123397
2.845,0.025,0,0.113963
2.855,0.025,0,0.104063
0.005,0.035,0,0.774904
0.015,0.035,0,0.774732
0.025,0.035,0,0.774581
0.035,0.035,0,0.774436
0.045,0.035,0,0.77426
0.055,0.035,0,0.77399
0.065,0.035,0,0.773801
0.075,0.035,0,0.774074
0.085,0.035,0,0.774581
0.095,0.035,0,0.775001
0.105,0.035,0,0.775191
0.115,0.035,0,0.775212
0.125,0.035,0,0.775079
0.135,0.035,0,0.774891
0.145,0.035,0,0.774625
0.155,0.035,0,0.774278
0.165,0.035,0,0.773844
0.175,0.035,0,0.773291
0.185,0.035,0,0.772517
0.195,0.035,0,0.771769
0.205,0.035,0,0.770952
0.215,0.035,0,0.770067
0.225,0.035,0,0.769102
0.235,0.035,0,0.767969
0.245,0.035,0,0.766429
0.255,0.035,0,0.764845
0.265,0.035,0,0.76316
0.275,0.035,0,0.76143
0.285,0.035,0,0.759707
0.295,0.035,0,0.757957
0.305,0.035,0,0.755875
0.315,0.035,0,0.75385
0.325,0.035,0,0.75187
0.335,0.035,0,0.749919
0.345,0.035,0,0.748157
0.355,0.035,0,0.747136
0.365,0.035,0,0.745385
0.375,0.035,0,0.743994
0.385,0.035,0,0.742354
0.395,0.035,0,0.740737
0.405,0.035,0,0.739299
0.415,0.035,0,0.737712
0.425,0.035,0,0.736006
0.435,0.035,0,0.734531
0.445,0.035,0,0.733035
0.455,0.035,0,0.73151
0.465,0.035,0,0.729961
0.475,0.035,0,0.728293
0.485,0.035,0,0.726531
0.495,0.035,0,0.725036
0.505,0.035,0,0.723552
0.515,0.035,0,0.722082
0.525,0.035,0,0.720628
0.535,0.035,0,0.719058
0.545,0.035,0,0.717535
0.555,0.035,0,0.716129
0.565,0.035,0,0.714751
0.575,0.035,0,0.713361
0.585,0.035,0,0.711952
0.595,0.035,0,0.710555
0.605,0.035,0,0.708974
0.615,0.035,0,0.707694
0.625,0.035,0,0.706602
0.635,0.035,0,0.705538
0.645,0.035,0,0.704294
0.655,0.035,0,0.702431
0.665,0.035,0,0.701545
0.675,0.035,0,0.700552
0.685,0.035,0,0.699323
0.695,0.035,0,0.698228
0.705,0.035,0,0.697534
0.715,0.035,0,0.696655
