t_s,p1_Pa,p2_Pa,mobA_kg,immobA_kg,dissA_kg,sealA_kg,mobB_kg,immobB_kg,dissB_kg,sealB_kg,M_C,CO2tot_kg
109200,109484.854546532,103624.930307719,0.00161825356165747,5.87086508701582e-07,0.00121720455755539,0.000303947231862036,0,0,0.000667627299745241,7.63020320180316e-10,1.71828823863021,0.00855684148391761
109800,109484.854546532,103624.930307719,0.00161497160946919,4.90061936603573e-07,0.0012209625223762,0.000304571885447595,0,0,0.0006657802359055,9.02915965986226e-10,1.71020850178543,0.00855684892570915
110400,109484.854546532,103624.930307719,0.00161151646849586,4.69146548644308e-07,0.00122490482926247,0.0003051948441481,0,0,0.000663906481903703,1.06528456321853e-09,1.70132435426032,0.00855685174731732
111000,109484.854546532,103624.930307719,0.00160755397381561,7.42575411359056e-07,0.00122916000611799,0.000305814476162114,0,0,0.000661943425162916,1.25285771366987e-09,1.69177902177172,0.00855686658752426
111600,109484.854546532,103624.930307719,0.00160449616393218,4.43416832227871e-07,0.0012330202201831,0.000306438351435331,0,0,0.000660108084621032,1.46822753993937e-09,1.68207258105351,0.0085568507116728
112200,109484.854546532,103624.930307719,0.00160173215534358,4.97791099574442e-07,0.00123630507932342,0.000307065692020157,0,0,0.000658558807589862,1.71106630188382e-09,1.67295729931144,0.00855687519537785
112800,109484.854546532,103624.930307719,0.00159903640062758,3.45241880238479e-07,0.00123979703809266,0.000307692426541137,0,0,0.000656978869390287,1.9830157485042e-09,1.6651453710366,0.00855687227732246
113400,109484.854546532,103624.930307719,0.00159594233051062,5.13167670620046e-07,0.0012435387715921,0.000308319104274142,0,0,0.00065535788962415,2.28916054785988e-09,1.65819737448348,0.00855687182888872
114000,109484.854546532,103624.930307719,0.00159322227911497,4.52874093825892e-07,0.0012471395798521,0.000308945177558271,0,0,0.000653767690625535,2.62541258643595e-09,1.65272817787882,0.00855688466683783
114600,109484.854546532,103624.930307719,0.00159055148292295,3.56185424024995e-07,0.00125057654254619,0.000309572518786501,0,0,0.000652225025941646,2.99897327162718e-09,1.64823269448583,0.00855688604342945
115200,109484.854546532,103624.930307719,0.00158738532057669,5.32181466182789e-07,0.00125439367331754,0.000310198051282738,0,0,0.00065062295614801,3.41061559353217e-09,1.6448880618893,0.00855688635019178
115800,109484.854546532,103624.930307719,0.00158432657214126,1.28544969775053e-07,0.00125882949014564,0.000310821345542771,0,0,0.000648912984029224,3.86998275170503e-09,1.64183671674655,0.00855688105855378
116400,109484.854546532,103624.930307719,0.00157922145378606,7.71517724274808e-07,0.00126389353092024,0.000311445133215131,0,0,0.000647234733063411,4.37659079428129e-09,1.63972600527122,0.00855687300830821
