#t, p1, p2, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C, totM_co2 
2.670e+04,113900.000000,108000.000000,0.000000,0.000391,0.004078,0.001563,0.000000,0.000000,0.000000,0.000000,1.254580,0.008300
2.700e+04,113900.000000,108000.000000,0.000000,0.000391,0.004100,0.001563,0.000000,0.000000,0.000000,0.000000,1.247750,0.008300
2.730e+04,113900.000000,108000.000000,0.000000,0.000391,0.004121,0.001563,0.000000,0.000000,0.000000,0.000000,1.240610,0.008300
2.760e+04,113900.000000,108000.000000,0.000000,0.000391,0.004143,0.001563,0.000000,0.000000,0.000000,0.000000,1.233440,0.008300
2.790e+04,113900.000000,108000.000000,0.000000,0.000391,0.004164,0.001563,0.000000,0.000000,0.000000,0.000000,1.226070,0.008300
2.820e+04,113900.000000,108000.000000,0.000000,0.000391,0.004185,0.001563,0.000000,0.000000,0.000000,0.000000,1.218620,0.008300
2.850e+04,113900.000000,108000.000000,0.000000,0.000391,0.004207,0.001563,0.000000,0.000000,0.000000,0.000000,1.211890,0.008300
2.880e+04,113900.000000,108000.000000,0.000000,0.000391,0.004228,0.001563,0.000000,0.000000,0.000000,0.000000,1.205000,0.008300
2.910e+04,113900.000000,108000.000000,0.000000,0.000391,0.004249,0.001563,0.000000,0.000000,0.000000,0.000000,1.197880,0.008300
2.940e+04,113900.000000,108000.000000,0.000000,0.000391,0.004269,0.001563,0.000000,0.000000,0.000000,0.000000,1.191130,0.008300
2.970e+04,113900.000000,108000.000000,0.000000,0.000391,0.004289,0.001563,0.000000,0.000000,0.000000,0.000000,1.184560,0.008300
3.000e+04,113900.000000,108000.000000,0.000000,0.000391,0.004310,0.001563,0.000000,0.000000,0.000000,0.000000,1.177880,0.008300
3.030e+04,113900.000000,108000.000000,0.000000,0.000391,0.004330,0.001563,0.000000,0.000000,0.000000,0.000000,1.171270,0.008300
3.060e+04,113900.000000,108000.000000,0.000000,0.000391,0.004350,0.001563,0.000000,0.000000,0.000000,0.000000,1.164920,0.008300
3.090e+04,113900.000000,108000.000000,0.000000,0.000391,0.004369,0.001563,0.000000,0.000000,0.000000,0.000000,1.158890,0.008300
3.120e+04,113900.000000,108000.000000,0.000000,0.000391,0.004389,0.001563,0.000000,0.000000,0.000000,0.000000,1.152430,0.008300
